               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.079366,             0.03464,            0.023007,             0.48553,             0.55329,             0.51855,             0.20395,            0.053305,            0.019972,            0.013969,             0.07033,           0.0032967,           0.0032967
                   1,            0.058214,            0.023745,           0.0092626,             0.50734,             0.69812,             0.57964,             0.22476,            0.053862,             0.01557,           0.0038155,            0.040111,           0.0064112,           0.0064112
                   2,            0.050347,            0.019969,           0.0055963,             0.86896,              0.8619,             0.90986,             0.40077,            0.042604,            0.015885,           0.0022707,           0.0096721,           0.0093058,           0.0093058
                   3,            0.040627,            0.018217,           0.0045542,             0.87959,             0.87509,             0.93437,             0.53917,            0.033441,            0.013484,           0.0034658,             0.00901,             0.00901,             0.00901
                   4,            0.035469,            0.017389,           0.0036681,             0.93507,             0.91846,             0.96231,             0.59709,            0.028093,            0.012405,           0.0026059,             0.00901,             0.00901,             0.00901
                   5,            0.032644,            0.016753,           0.0033717,             0.92282,             0.92374,             0.96117,             0.60464,             0.02776,            0.011966,           0.0022377,             0.00868,             0.00868,             0.00868
                   6,            0.030363,            0.016713,           0.0033143,              0.9338,             0.93591,             0.96995,             0.61658,            0.027733,            0.011641,            0.002387,             0.00835,             0.00835,             0.00835
                   7,            0.028627,            0.016315,           0.0030338,              0.9531,             0.94297,             0.97676,             0.67054,            0.024069,            0.010959,           0.0017062,             0.00802,             0.00802,             0.00802
                   8,            0.027623,            0.015812,           0.0028269,             0.95564,             0.94561,             0.98036,             0.68668,            0.023214,            0.010733,           0.0015785,             0.00769,             0.00769,             0.00769
                   9,            0.026663,            0.015375,           0.0025927,             0.95976,             0.94215,             0.97717,              0.6911,            0.022823,            0.010682,           0.0017301,             0.00736,             0.00736,             0.00736
                  10,            0.026251,            0.015275,           0.0024554,             0.95124,              0.9613,             0.98204,             0.69682,            0.022551,             0.01047,           0.0014396,             0.00703,             0.00703,             0.00703
                  11,            0.025687,            0.015126,           0.0023426,             0.95226,             0.96879,              0.9847,             0.70986,             0.02146,            0.010162,           0.0013564,              0.0067,              0.0067,              0.0067
                  12,            0.024606,            0.014757,           0.0022318,             0.95333,             0.95665,             0.98303,             0.70759,            0.021626,            0.010287,            0.001466,             0.00637,             0.00637,             0.00637
                  13,            0.024295,            0.014676,           0.0020677,             0.94419,             0.95756,             0.98278,             0.71728,             0.02135,            0.010285,           0.0019359,             0.00604,             0.00604,             0.00604
                  14,            0.023943,            0.014597,           0.0022271,             0.96024,             0.96318,             0.98336,             0.72198,            0.020915,           0.0099667,           0.0012498,             0.00571,             0.00571,             0.00571
                  15,            0.023774,            0.014649,           0.0020474,             0.95196,              0.9595,             0.98379,             0.71776,            0.021379,            0.009969,           0.0016007,             0.00538,             0.00538,             0.00538
                  16,            0.023265,            0.014649,           0.0021039,             0.95788,             0.96168,             0.98425,             0.72376,            0.020656,            0.010011,           0.0010977,             0.00505,             0.00505,             0.00505
                  17,            0.022879,            0.014036,           0.0017771,              0.9715,             0.95262,             0.98584,             0.73634,            0.020246,           0.0097332,           0.0015232,             0.00472,             0.00472,             0.00472
                  18,            0.022786,            0.014107,           0.0019701,             0.96405,             0.96416,             0.98718,             0.73832,            0.020138,           0.0095781,            0.001758,             0.00439,             0.00439,             0.00439
                  19,            0.022464,            0.014168,           0.0017316,             0.96872,             0.96449,             0.98628,             0.74384,            0.019751,           0.0094967,           0.0015289,             0.00406,             0.00406,             0.00406
                  20,            0.022494,            0.014072,             0.00203,             0.96442,             0.96882,             0.98703,             0.74295,            0.019629,           0.0095516,           0.0014081,             0.00373,             0.00373,             0.00373
                  21,            0.021983,            0.013972,           0.0018397,              0.9671,             0.97129,             0.98695,             0.74704,            0.019581,           0.0094143,           0.0013096,              0.0034,              0.0034,              0.0034
                  22,            0.021799,              0.0136,           0.0016522,             0.96837,             0.97595,             0.98743,             0.75321,            0.019285,           0.0093074,           0.0010332,             0.00307,             0.00307,             0.00307
                  23,            0.021848,             0.01393,           0.0017007,             0.96982,             0.97429,             0.98788,             0.75177,             0.01916,           0.0092814,            0.001056,             0.00274,             0.00274,             0.00274
                  24,            0.021228,            0.013374,           0.0015929,             0.96526,             0.97581,             0.98728,             0.75705,            0.018926,           0.0092026,           0.0013247,             0.00241,             0.00241,             0.00241
                  25,            0.021287,            0.013287,           0.0015228,              0.9665,             0.97437,             0.98846,             0.75813,            0.018905,           0.0091812,           0.0011742,             0.00208,             0.00208,             0.00208
